geoid,name,B16007001,"B16007001, Error",B16007002,"B16007002, Error",B16007003,"B16007003, Error",B16007004,"B16007004, Error",B16007005,"B16007005, Error",B16007006,"B16007006, Error",B16007007,"B16007007, Error",B16007008,"B16007008, Error",B16007009,"B16007009, Error",B16007010,"B16007010, Error",B16007011,"B16007011, Error",B16007012,"B16007012, Error",B16007013,"B16007013, Error",B16007014,"B16007014, Error",B16007015,"B16007015, Error",B16007016,"B16007016, Error",B16007017,"B16007017, Error",B16007018,"B16007018, Error",B16007019,"B16007019, Error"
14000US42101031402,"Census Tract 314.02, Philadelphia, PA",5465,429,1189,261,478,158,408,223,11,18,269,137,23,34,3735,321,1286,271,857,313,113,91,1393,256,86,68,541,90,426,92,22,25,71,54,22,20,0,15
14000US42101031501,"Census Tract 315.01, Philadelphia, PA",6031,668,1230,508,416,267,29,48,0,15,567,455,218,357,4003,391,2380,513,467,336,311,230,701,401,144,236,798,232,676,225,28,48,15,23,79,73,0,15
14000US42101031502,"Census Tract 315.02, Philadelphia, PA",4021,411,656,134,404,126,43,52,56,66,112,64,41,55,2933,353,1423,294,400,194,553,349,468,149,89,78,432,78,396,74,5,13,0,10,31,28,0,10
14000US42101031600,"Census Tract 316, Philadelphia, PA",5513,836,1217,403,794,422,245,130,39,60,139,137,0,15,3590,640,2269,408,438,209,510,602,335,144,38,64,706,235,567,188,0,15,37,39,102,124,0,15
14000US42101031700,"Census Tract 317, Philadelphia, PA",4975,683,823,365,591,322,83,74,0,15,94,116,55,85,3494,481,2251,532,846,308,36,43,149,125,212,195,658,210,577,169,45,56,0,15,36,65,0,15
14000US42101031800,"Census Tract 318, Philadelphia, PA",3834,605,871,275,487,217,246,216,48,45,30,42,60,70,2573,506,1419,381,587,287,260,199,100,93,207,245,390,67,227,81,125,64,25,29,13,22,0,10
14000US42101031900,"Census Tract 319, Philadelphia, PA",5257,560,1057,273,927,276,67,48,13,20,10,16,40,64,3697,493,2367,470,828,403,287,203,197,185,18,28,503,53,427,72,12,18,55,40,9,13,0,15
14000US42101032000,"Census Tract 320, Philadelphia, PA",6667,690,1766,521,1137,436,381,236,226,200,0,15,22,35,4304,377,2909,392,1090,246,186,155,80,140,39,66,597,142,539,147,0,15,58,77,0,15,0,15
14000US42101032100,"Census Tract 321, Philadelphia, PA",3721,552,1127,446,721,151,332,420,29,46,38,48,7,15,2297,240,1787,226,373,147,26,43,105,125,6,9,297,104,277,100,6,12,14,21,0,10,0,10
14000US42101032300,"Census Tract 323, Philadelphia, PA",3444,383,651,228,602,242,49,47,0,10,0,10,0,10,2456,275,1924,278,461,132,42,70,0,10,29,28,337,79,305,72,23,34,9,14,0,10,0,10
